TEAM,GP,G,GA,GFG,GAG,DIFF,SFG,SAG,DIFF,SVPCT,PIM,PIMA,DIFF
Dallas,82,265,228,3.23,2.78,0.45,32,28.9,3.1,0.904,719,739,-20
Washington,81,248,189,3.06,2.33,0.73,30.7,28.5,2.2,0.918,740,714,26
Pittsburgh,82,241,199,2.94,2.43,0.51,33.2,29.7,3.5,0.918,693,733,-40
San Jose,82,237,207,2.89,2.52,0.37,30.4,27.4,3,0.908,727,904,-177
Boston,82,236,228,2.88,2.78,0.1,32,30.4,1.6,0.908,933,851,82
Chicago,82,234,207,2.85,2.52,0.33,30.5,30.8,-0.3,0.918,611,706,-95
NY Rangers,82,233,215,2.84,2.62,0.22,28.5,30.4,-1.9,0.914,704,678,26
Florida,82,232,200,2.83,2.44,0.39,28.8,29.5,-0.7,0.917,849,851,-2
Ottawa,82,230,241,2.8,2.94,-0.13,28.4,32.8,-4.4,0.91,892,901,-9
Calgary,82,229,257,2.79,3.13,-0.34,29.2,29,0.3,0.892,754,782,-28
NY Islanders,81,225,206,2.78,2.54,0.23,29.6,30.5,-0.9,0.917,710,745,-35
Tampa Bay,82,224,198,2.73,2.41,0.32,29.3,28.9,0.4,0.916,809,871,-62
Nashville,82,224,213,2.73,2.6,0.13,30.6,27.3,3.2,0.905,810,806,4
Los Angeles,82,223,192,2.72,2.34,0.38,32,27.5,4.5,0.915,866,744,122
St. Louis,82,219,197,2.67,2.4,0.27,30.2,29.7,0.4,0.919,861,751,110
Montreal,82,216,233,2.63,2.84,-0.21,30.5,29.4,1.2,0.903,774,812,-38
Anaheim,81,213,188,2.63,2.32,0.31,30.4,27.6,2.8,0.916,1010,894,116
Minnesota,82,213,204,2.6,2.49,0.11,29,28.6,0.3,0.913,545,702,-157
Columbus,82,213,248,2.6,3.02,-0.43,29.1,31.1,-2,0.903,995,879,116
Winnipeg,82,212,236,2.59,2.88,-0.29,29.6,29.5,0,0.903,920,853,67
Colorado,82,212,240,2.59,2.93,-0.34,28.6,32.3,-3.7,0.909,774,772,2
Detroit,82,209,219,2.55,2.67,-0.12,29.7,29.7,-0.1,0.91,724,743,-19
Philadelphia,81,206,208,2.54,2.57,-0.02,31,30.9,0.1,0.917,958,971,-13
Arizona,82,208,244,2.54,2.98,-0.44,27.6,31,-3.3,0.904,1009,947,62
Buffalo,82,199,215,2.43,2.62,-0.2,29.5,30.6,-1.1,0.914,749,836,-87
Edmonton,82,199,242,2.43,2.95,-0.52,29.1,31.1,-2,0.905,794,753,41
Carolina,82,196,221,2.39,2.7,-0.3,29.9,27.6,2.3,0.902,562,633,-71
Toronto,82,192,240,2.34,2.93,-0.59,30.7,30.5,0.1,0.904,756,736,20
Vancouver,82,186,239,2.27,2.91,-0.65,28.2,32.5,-4.4,0.91,821,818,3
New Jersey,82,182,202,2.22,2.46,-0.24,24.4,28.6,-4.2,0.914,814,758,56
