Sport,Concussion_Competition,Concussion_Practice,Exposure_Competition,Exposure_Practice,Concussion_Totals,Exposure_Totals,Competition_Rate_Per_10K_Exposures,Practice_Rate_Per_10K_Exposures,Total_Rate_Per_10K_Exposures
Football,548,364,239445,1176395,912,1415840,22.8862578,3.094198802,6.441405809
Boys Ice Hockey,69,11,47418,99857,80,147275,14.55143616,1.101575253,5.432014938
Boys Lacrosse,75,18,71990,159980,93,231970,10.41811363,1.125140643,4.009139113
Girls Soccer,133,26,145139,328241,159,473380,9.163629348,0.792100926,3.358823778
Girls Lacrosse,45,15,52331,117865,60,170196,8.599109514,1.27264243,3.525347247
Girls Basketball,85,22,153655,350554,107,504209,5.531873353,0.627578062,2.12213586
Boys Soccer,88,15,166572,383076,103,549648,5.283000744,0.391567209,1.873926586
Boys Wrestling,63,49,132203,365981,112,498184,4.765398667,1.338867318,2.248165337
Girls Field Hockey,29,22,70430,156735,51,227165,4.117563538,1.403643092,2.24506416
Boys Baksetball,71,25,181941,433661,96,615602,3.902363953,0.576487164,1.559449125
Girls Softball,36,22,123815,239850,58,363665,2.907563704,0.917239942,1.594874404
Girls Gymnastics,2,1,8431,35882,3,44313,2.372197841,0.278691266,0.677002234
Cheerleading,2,21,16412,145124,23,161536,1.218620522,1.447038395,1.42383122
Boys Baseball,19,4,167233,312033,23,479266,1.136139398,0.128191569,0.479900515
Girls Volleyball,16,15,162854,322371,31,485225,0.9824751,0.4653024,0.638878871
Girls Swimming,2,2,45564,187588,4,233152,0.438943025,0.106616628,0.1715619
Girls Track,3,5,82360,356285,8,438645,0.364254492,0.14033709,0.182379829
Boys Track,3,8,100050,441052,11,541102,0.299850075,0.181384508,0.203288844
Boys Swim,0,2,37556,162135,2,199691,0,0.123353995,0.100154739
