county,state,acres92,acres87
COFFEE COUNTY,AL,175209,179311
COLBERT COUNTY,AL,138135,145104
LAMAR COUNTY,AL,56102,59861
MARENGO COUNTY,AL,199117,220526
MARION COUNTY,AL,89228,105586
TUSCALOOSA COUNTY,AL,96194,120542
COLUMBIA COUNTY,AR,57253,66305
FAULKNER COUNTY,AR,210692,223594
HOT SPRING COUNTY,AR,78498,80267
MONROE COUNTY,AR,219444,234605
POLK COUNTY,AR,122871,112409
PRAIRIE COUNTY,AR,313232,312903
STONE COUNTY,AR,136309,134351
WASHINGTON COUNTY,AR,352322,362670
AMADOR COUNTY,CA,236222,218532
MARIN COUNTY,CA,168879,167590
NAPA COUNTY,CA,235290,258197
PLUMAS COUNTY,CA,119514,88132
SISKIYOU COUNTY,CA,647446,669385
YUBA COUNTY,CA,234781,222748
BENT COUNTY,CO,796892,855503
LINCOLN COUNTY,CO,1660146,1615140
MONTEZUMA COUNTY,CO,834018,843904
SUMMIT COUNTY,CO,38467,34368
TELLER COUNTY,CO,104010,83281
CITRUS COUNTY,FL,70672,74264
COLUMBIA COUNTY,FL,96968,98620
HILLSBOROUGH COUNTY,FL,265443,287951
OKEECHOBEE COUNTY,FL,351885,384169
BARROW COUNTY,GA,35851,40233
CHATHAM COUNTY,GA,8518,10641
COLUMBIA COUNTY,GA,26984,27042
EVANS COUNTY,GA,40608,44076
HABERSHAM COUNTY,GA,36074,39886
JEFF DAVIS COUNTY,GA,72626,75815
LAURENS COUNTY,GA,168051,179300
LINCOLN COUNTY,GA,32657,36282
MARION COUNTY,GA,45448,41517
OCONEE COUNTY,GA,51836,50545
PUTNAM COUNTY,GA,34746,42314
SCREVEN COUNTY,GA,138803,144990
STEWART COUNTY,GA,49043,47913
TALIAFERRO COUNTY,GA,19314,19096
UNION COUNTY,GA,21973,23141
WALKER COUNTY,GA,88829,95243
WARREN COUNTY,GA,47000,52582
WASHINGTON COUNTY,GA,111801,115320
WILCOX COUNTY,GA,115516,114903
BENTON COUNTY,IA,427215,419480
CEDAR COUNTY,IA,338801,345483
FREMONT COUNTY,IA,302352,308796
GRUNDY COUNTY,IA,317205,319657
HARRISON COUNTY,IA,399155,387190
