,id,market,name,season_type,year,assists,blocked_att,blocks,def_rebounds,fast_break_pts,field_goals_att,field_goals_made,flagrant_fouls,free_throws_att,free_throws_made,minutes,off_rebounds,paint_pts,personal_fouls,points,points_off_turnovers,rebounds,second_chance_pts,steals,three_points_att,three_points_made,turnovers,two_points_att,two_points_made,wins,losses,conference,division
0,5,C,B,R,2013,22.7,5.98,5.17,32.72,9.5,80.21,34.67,0.04,23.27,18.12,243.0,11.43,37.24,19.09,93.7,15.26,44.15,13.98,7.24,17.79,6.2,14.91,62.41,28.48,48,34,E,C
1,5,C,B,R,2014,21.7,5.4,5.8,34.05,10.83,82.89,36.6,0.02,25.21,19.73,242.4,11.7,40.12,18.23,100.8,13.55,45.74,13.12,6.27,22.26,7.87,13.96,60.63,28.73,50,32,E,C
2,5,N,K,R,2013,20.0,3.38,4.48,29.72,8.96,82.18,36.91,0.06,20.37,15.5,242.1,10.61,33.49,22.13,98.6,16.7,40.33,13.09,7.7,24.85,9.26,12.96,57.33,27.66,37,45,E,A
3,5,N,K,R,2014,21.3,4.3,4.66,29.79,8.35,82.02,35.15,0.06,19.21,14.77,242.1,10.57,33.37,21.56,91.9,14.57,40.37,12.27,7.01,19.68,6.83,14.71,62.34,28.32,17,65,E,A
4,5,C,C,R,2013,21.2,5.62,3.71,32.06,10.61,84.82,37.02,0.04,22.7,17.05,243.0,12.06,39.27,20.0,98.2,14.91,44.12,13.39,7.06,20.0,7.12,14.18,64.82,29.9,33,49,E,C
5,5,C,C,R,2014,22.1,4.49,4.15,31.85,11.27,82.18,37.67,0.06,23.59,17.72,241.2,11.11,40.88,18.41,103.1,16.1,42.96,13.02,7.35,27.48,10.07,14.28,54.71,27.6,53,29,E,C
6,5,I,P,R,2013,20.1,4.61,5.44,34.52,9.46,80.16,35.96,0.04,23.26,18.11,241.2,10.17,38.22,20.43,96.7,15.71,44.7,12.45,6.71,18.8,6.71,15.09,61.35,29.26,56,26,E,C
7,5,I,P,R,2014,21.4,4.71,4.57,34.41,9.55,83.22,36.56,0.06,22.16,16.74,242.1,10.44,37.12,21.24,97.3,14.24,44.85,13.46,6.16,21.22,7.46,13.99,62.0,29.1,38,44,E,C
8,5,G,W,R,2013,23.3,4.17,4.96,34.38,15.13,85.43,39.46,0.05,21.11,15.89,241.8,10.93,43.29,21.76,104.3,17.23,45.3,12.15,7.83,24.84,9.44,15.21,60.59,30.02,51,31,W,P
9,5,G,W,R,2014,27.4,3.57,6.05,34.32,20.88,87.04,41.59,0.05,20.84,16.01,240.6,10.4,45.27,19.85,110.0,19.59,44.72,12.52,9.29,27.04,10.77,14.45,60.0,30.82,67,15,W,P
10,5,P,7,R,2013,21.8,6.8,4.02,31.17,17.4,87.2,37.9,0.01,23.39,16.61,242.1,11.57,49.51,22.49,99.5,18.55,42.74,13.91,9.33,22.52,7.04,16.88,64.67,30.87,19,63,E,A
11,5,P,7,R,2014,20.5,5.54,5.94,30.93,14.76,82.65,33.72,0.05,23.82,16.1,241.5,11.93,40.8,21.68,92.0,17.46,42.85,13.79,9.62,26.34,8.44,17.72,56.3,25.28,18,64,E,A
12,5,W,W,R,2013,23.3,3.9,4.6,31.38,15.74,84.39,38.74,0.06,20.91,15.28,244.6,10.8,40.76,20.43,100.7,18.12,42.18,12.26,8.15,20.78,7.89,14.68,63.61,30.85,44,38,E,S
13,5,W,W,R,2014,24.0,4.27,4.61,34.16,15.43,82.8,38.28,0.1,21.44,15.91,243.4,10.51,41.37,20.82,98.5,15.11,44.67,11.87,7.33,16.84,6.06,15.04,65.96,32.22,46,36,E,S
14,5,D,P,R,2013,20.9,4.91,4.82,30.79,16.89,86.88,38.8,0.05,25.74,17.26,241.2,14.59,51.88,20.32,101.0,17.67,45.38,16.07,8.38,19.27,6.18,14.55,67.61,32.62,29,53,E,C
15,5,D,P,R,2014,21.6,4.77,4.67,32.07,13.4,85.83,37.09,0.05,22.41,15.76,241.8,12.82,44.76,19.01,98.5,15.88,44.89,14.85,7.6,24.91,8.57,13.4,60.91,28.51,32,50,E,C
16,5,C,H,R,2013,21.7,5.06,5.13,33.22,10.13,82.07,36.29,0.0,24.39,17.98,242.7,9.46,40.22,18.21,96.9,14.3,42.68,11.95,6.09,17.94,6.29,12.32,64.13,30.0,43,39,E,S
17,5,C,H,R,2014,20.2,5.37,5.46,34.06,9.17,84.54,35.52,0.02,22.77,17.04,242.7,10.0,36.41,18.22,94.2,13.48,44.06,12.61,6.09,19.1,6.07,11.9,65.44,29.45,33,49,E,S
18,5,B,N,R,2013,20.9,4.11,3.79,29.35,9.5,77.94,35.74,0.1,24.41,18.39,242.4,8.79,38.37,21.67,98.5,18.5,38.15,9.99,8.6,23.44,8.65,14.52,54.5,27.1,44,38,E,A
19,5,B,N,R,2014,20.9,4.54,4.15,32.04,9.41,82.98,37.43,0.02,22.16,16.57,243.0,10.32,44.56,19.26,98.0,15.0,42.35,12.26,7.02,19.91,6.6,13.82,63.06,30.83,38,44,E,A
20,5,M,T,R,2013,23.9,5.57,3.62,32.24,16.02,87.5,38.89,0.01,28.06,21.83,242.1,12.49,46.68,18.34,106.9,19.43,44.73,15.32,8.76,21.43,7.32,13.93,66.07,31.57,40,42,W,N
