Team,Conf,GP,W,L,WINPCT,MIN,FGM,FGA,FGPCT,TPM,TPA,TPCT,FTM,FTA,FTPCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUSMIN
Sacramento Kings,W,82,29,53,35.4,48.4,36.7,80.7,45.5,5.6,16.5,34.1,22.3,29.3,76.2,10.9,33.3,44.2,20.3,16.3,6.7,4,6.2,20.7,23.9,101.3,-3.7
Houston Rockets,W,82,56,26,68.3,48.3,37,83.3,44.4,11.4,32.7,34.8,18.6,26,71.5,11.7,32,43.7,22.2,16.7,9.5,5,5.3,22,21.1,103.9,3.4
Minnesota Timberwolves,W,82,16,66,19.5,48.3,36.4,83.2,43.8,5,14.9,33.2,20,25.7,77.6,11.6,29.3,40.9,21.6,15,8.1,4,5.5,19.2,21.4,97.8,-8.8
Chicago Bulls,E,82,50,32,61,48.5,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34,45.7,21.7,14,6.3,5.8,5.4,18.2,21.2,100.8,3
Los Angeles Clippers,W,82,56,26,68.3,48.1,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71,9.6,33.1,42.6,24.8,12.3,7.8,5,3,21.3,21.5,106.7,6.6
Toronto Raptors,E,82,49,33,59.8,48.4,37.9,83.3,45.5,8.9,25.1,35.2,19.3,24.6,78.7,10.7,30.8,41.5,20.7,12.9,7.5,4.4,5,20.9,20.3,104,3.1
Oklahoma City Thunder,W,82,45,37,54.9,48.4,38.8,86.8,44.7,7.7,22.7,33.9,18.6,24.6,75.4,12.8,34.7,47.5,20.5,14.7,7.3,5.5,4.6,22.3,20.4,104,2.2
Denver Nuggets,W,82,30,52,36.6,48.5,37.8,87.3,43.3,8,24.8,32.5,17.8,24.3,73.4,12.3,32.4,44.7,21.8,14.2,7.8,4.5,6.1,23,20.7,101.5,-3.5
Philadelphia 76ers,E,82,18,64,22,48.3,33.7,82.6,40.8,8.4,26.3,32,16.1,23.8,67.6,11.9,30.9,42.9,20.5,17.7,9.6,5.9,5.5,21.7,20.2,92,-9
Miami Heat,E,82,37,45,45.1,48.1,35.2,77.2,45.6,6.8,20.2,33.5,17.5,23.7,74.1,9.1,30,39.1,19.8,14.8,7.8,4.5,4.4,20,20.9,94.7,-2.6
